opcode,mnemonic,addressing mode,bytes,cycles,illegal,flags
0x83  ,SAX     ,INDX           ,2    ,3     ,true   ,czidbvn
0x84  ,STY     ,ZP             ,2    ,3     ,false  ,czidbvn
0x85  ,STA     ,ZP             ,2    ,3     ,false  ,czidbvn
0x86  ,STX     ,ZP             ,2    ,3     ,false  ,czidbvn
0x87  ,SAX     ,ZP             ,2    ,3     ,true   ,czidbvn
0x88  ,DEY     ,IMP            ,1    ,2     ,false  ,cZidbvN
0x89  ,NOP     ,IMM            ,2    ,2     ,true   ,czidbvn
0x8a  ,TXA     ,IMP            ,1    ,2     ,false  ,cZidbvN
0x8b  ,XAA     ,IMM            ,2    ,3     ,true   ,cZidbvN
0x8c  ,STY     ,ABS            ,3    ,4     ,false  ,czidbvn
0x8d  ,STA     ,ABS            ,3    ,4     ,false  ,czidbvn
0x8e  ,STX     ,ABS            ,3    ,4     ,false  ,czidbvn
0x8f  ,SAX     ,ABS            ,3    ,3     ,true   ,czidbvn
0x90  ,BCC     ,REL            ,2    ,2/3   ,false  ,czidbvn
0x91  ,STA     ,INDY           ,2    ,6     ,false  ,czidbvn
0x92  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x93  ,AHX     ,INDY           ,2    ,3     ,true   ,czidbvn
0x94  ,STY     ,ZPX            ,2    ,4     ,false  ,czidbvn
0x95  ,STA     ,ZPX            ,2    ,4     ,false  ,czidbvn
0x96  ,STX     ,ZPY            ,2    ,4     ,false  ,czidbvn
0x97  ,SAX     ,ZPY            ,2    ,3     ,true   ,czidbvn
0x98  ,TYA     ,IMP            ,1    ,2     ,false  ,cZidbvN
0x99  ,STA     ,ABSY           ,3    ,5     ,false  ,czidbvn
0x9a  ,TXS     ,IMP            ,1    ,2     ,false  ,czidbvn
0x9b  ,TAS     ,ABSY           ,3    ,3     ,true   ,czidbvn
0x9c  ,SHY     ,ABSX           ,3    ,3     ,true   ,czidbvn
0x9d  ,STA     ,ABSX           ,3    ,5     ,false  ,czidbvn
0x9e  ,SHX     ,ABSY           ,3    ,3     ,true   ,czidbvn
0x9f  ,AHX     ,ABSY           ,3    ,3     ,true   ,czidbvn
0xa0  ,LDY     ,IMM            ,2    ,2     ,false  ,cZidbvN
0xa1  ,LDA     ,INDX           ,2    ,6     ,false  ,cZidbvN
0xa2  ,LDX     ,IMM            ,2    ,2     ,false  ,cZidbvN
0xa3  ,LAX     ,INDX           ,2    ,3     ,true   ,cZidbvN
0xa4  ,LDY     ,ZP             ,2    ,3     ,false  ,cZidbvN
0xa5  ,LDA     ,ZP             ,2    ,3     ,false  ,cZidbvN
0xa6  ,LDX     ,ZP             ,2    ,3     ,false  ,cZidbvN
0xa7  ,LAX     ,ZP             ,2    ,3     ,true   ,cZidbvN
0xa8  ,TAY     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xa9  ,LDA     ,IMM            ,2    ,2     ,false  ,cZidbvN
0xaa  ,TAX     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xab  ,LAX     ,IMM            ,2    ,3     ,true   ,cZidbvN
0xac  ,LDY     ,ABS            ,3    ,4     ,false  ,cZidbvN
0xad  ,LDA     ,ABS            ,3    ,4     ,false  ,cZidbvN
0xae  ,LDX     ,ABS            ,3    ,4     ,false  ,cZidbvN
0xaf  ,LAX     ,ABS            ,3    ,3     ,true   ,cZidbvN
0xb0  ,BCS     ,REL            ,2    ,2/3   ,false  ,czidbvn
0xb1  ,LDA     ,INDY           ,2    ,5/6   ,false  ,cZidbvN
0xb2  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0xb3  ,LAX     ,INDY           ,2    ,3     ,true   ,cZidbvN
0xb4  ,LDY     ,ZPX            ,2    ,4     ,false  ,cZidbvN
0xb5  ,LDA     ,ZPX            ,2    ,4     ,false  ,cZidbvN
0xb6  ,LDX     ,ZPY            ,2    ,4     ,false  ,cZidbvN
0xb7  ,LAX     ,ZPY            ,2    ,3     ,true   ,cZidbvN
0xb8  ,CLV     ,IMP            ,1    ,2     ,false  ,czidbVn
0xb9  ,LDA     ,ABSY           ,3    ,4/5   ,false  ,cZidbvN
0xba  ,TSX     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xbb  ,LAS     ,ABSY           ,3    ,3     ,true   ,cZidbvN
0xbc  ,LDY     ,ABSX           ,3    ,4/5   ,false  ,cZidbvN
0xbd  ,LDA     ,ABSX           ,3    ,4/5   ,false  ,cZidbvN
0xbe  ,LDX     ,ABSY           ,3    ,4/5   ,false  ,cZidbvN
0xbf  ,LAX     ,ABSY           ,3    ,3     ,true   ,cZidbvN
0xc0  ,CPY     ,IMM            ,2    ,2     ,false  ,CZidbvN
0xc1  ,CMP     ,INDX           ,2    ,6     ,false  ,CZidbvN
0xc2  ,NOP     ,IMM            ,2    ,2     ,true   ,czidbvn
0xc3  ,DCP     ,INDX           ,2    ,3     ,true   ,CZidbvN
0xc4  ,CPY     ,ZP             ,2    ,3     ,false  ,CZidbvN
0xc5  ,CMP     ,ZP             ,2    ,3     ,false  ,CZidbvN
0xc6  ,DEC     ,ZP             ,2    ,5     ,false  ,cZidbvN
0xc7  ,DCP     ,ZP             ,2    ,3     ,true   ,CZidbvN
0xc8  ,INY     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xc9  ,CMP     ,IMM            ,2    ,2     ,false  ,CZidbvN
0xca  ,DEX     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xcb  ,AXS     ,IMM            ,2    ,3     ,true   ,CZidbvN
0xcc  ,CPY     ,ABS            ,3    ,4     ,false  ,CZidbvN
0xcd  ,CMP     ,ABS            ,3    ,4     ,false  ,CZidbvN
0xce  ,DEC     ,ABS            ,3    ,6     ,false  ,cZidbvN
0xcf  ,DCP     ,ABS            ,3    ,3     ,true   ,CZidbvN
0xd0  ,BNE     ,REL            ,2    ,2/3   ,false  ,czidbvn
0xd1  ,CMP     ,INDY           ,2    ,5/6   ,false  ,CZidbvN
0xd2  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0xd3  ,DCP     ,INDY           ,2    ,3     ,true   ,CZidbvN
0xd4  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0xd5  ,CMP     ,ZPX            ,2    ,4     ,false  ,CZidbvN
0xd6  ,DEC     ,ZPX            ,2    ,6     ,false  ,cZidbvN
0xd7  ,DCP     ,ZPX            ,2    ,3     ,true   ,CZidbvN
0xd8  ,CLD     ,IMP            ,1    ,2     ,false  ,cziDbvn
0xd9  ,CMP     ,ABSY           ,3    ,4/5   ,false  ,CZidbvN
0xda  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0xdb  ,DCP     ,ABSY           ,3    ,3     ,true   ,CZidbvN
0xdc  ,NOP     ,ABSX           ,3    ,4/5   ,true   ,czidbvn
0xdd  ,CMP     ,ABSX           ,3    ,4/5   ,false  ,CZidbvN
0xde  ,DEC     ,ABSX           ,3    ,7     ,false  ,cZidbvN
0xdf  ,DCP     ,ABSX           ,3    ,3     ,true   ,CZidbvN
0xe0  ,CPX     ,IMM            ,2    ,2     ,false  ,CZidbvN
0xe1  ,SBC     ,INDX           ,2    ,6     ,false  ,CZidbVN
0xe2  ,NOP     ,IMM            ,2    ,2     ,true   ,czidbvn
0xe3  ,ISC     ,INDX           ,2    ,3     ,true   ,CZidbVN
0xe4  ,CPX     ,ZP             ,2    ,3     ,false  ,CZidbvN
0xe5  ,SBC     ,ZP             ,2    ,3     ,false  ,CZidbVN
0xe6  ,INC     ,ZP             ,2    ,5     ,false  ,cZidbvN
0xe7  ,ISC     ,ZP             ,2    ,3     ,true   ,CZidbVN
0xe8  ,INX     ,IMP            ,1    ,2     ,false  ,cZidbvN
0xe9  ,SBC     ,IMM            ,2    ,2     ,false  ,CZidbVN
0xea  ,NOP     ,IMP            ,1    ,2     ,false  ,czidbvn
0xeb  ,SBC     ,IMM            ,2    ,3     ,true   ,CZidbVN
0xec  ,CPX     ,ABS            ,3    ,4     ,false  ,CZidbvN
0xed  ,SBC     ,ABS            ,3    ,4     ,false  ,CZidbVN
0xee  ,INC     ,ABS            ,3    ,6     ,false  ,cZidbvN
0xef  ,ISC     ,ABS            ,3    ,3     ,true   ,CZidbVN
0xf0  ,BEQ     ,REL            ,2    ,2/3   ,false  ,czidbvn
0xf1  ,SBC     ,INDY           ,2    ,5/6   ,false  ,CZidbVN
0xf2  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0xf3  ,ISC     ,INDY           ,2    ,3     ,true   ,CZidbVN
0xf4  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0xf5  ,SBC     ,ZPX            ,2    ,4     ,false  ,CZidbVN
0xf6  ,INC     ,ZPX            ,2    ,6     ,false  ,cZidbvN
0xf7  ,ISC     ,ZPX            ,2    ,3     ,true   ,CZidbVN
0xf8  ,SED     ,IMP            ,1    ,2     ,false  ,cziDbvn
0xf9  ,SBC     ,ABSY           ,3    ,4/5   ,false  ,CZidbVN
0xfa  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0xfb  ,ISC     ,ABSY           ,3    ,3     ,true   ,CZidbVN
0xfc  ,NOP     ,ABS            ,3    ,4     ,true   ,czidbvn
0xfd  ,SBC     ,ABSX           ,3    ,4/5   ,false  ,CZidbVN
0xfe  ,INC     ,ABSX           ,3    ,7     ,false  ,cZidbvN
0xff  ,ISC     ,ABSX           ,3    ,3     ,true   ,CZidbVN
